Geometry

 COORDINATES 205
! NODE  X   Y   Z
    1    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00
    2    0.000000000000000e+00    2.000000000000000e-03    0.000000000000000e+00
    3    0.000000000000000e+00    4.000000000000000e-03    0.000000000000000e+00
    4    5.000000000000000e-02    0.000000000000000e+00    0.000000000000000e+00
    5    5.000000000000000e-02    2.000000000000000e-03    0.000000000000000e+00
    6    5.000000000000000e-02    4.000000000000000e-03    0.000000000000000e+00
    7    1.000000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    8    1.000000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    9    1.000000000000000e-01    4.000000000000000e-03    0.000000000000000e+00
    10    1.500000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    11    1.500000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    12    1.500000000000000e-01    4.000000000000000e-03    0.000000000000000e+00
    13    2.000000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    14    2.000000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    15    2.000000000000000e-01    4.000000000000000e-03    0.000000000000000e+00
    16    2.500000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    17    2.500000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    18    2.500000000000000e-01    4.000000000000000e-03    0.000000000000000e+00
    19    3.000000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    20    3.000000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    21    3.000000000000000e-01    4.000000000000000e-03    0.000000000000000e+00
    22    3.500000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    23    3.500000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    24    3.500000000000000e-01    4.000000000000000e-03    0.000000000000000e+00
    25    4.000000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    26    4.000000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    27    4.000000000000000e-01    4.000000000000000e-03    0.000000000000000e+00
    28    4.500000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    29    4.500000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    30    4.500000000000000e-01    4.000000000000000e-03    0.000000000000000e+00
    31    5.000000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    32    5.000000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    33    5.000000000000000e-01    4.000000000000000e-03    0.000000000000000e+00
    34    5.500000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    35    5.500000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    36    5.500000000000000e-01    4.000000000000000e-03    0.000000000000000e+00
    37    6.000000000000001e-01    0.000000000000000e+00    0.000000000000000e+00
    38    6.000000000000001e-01    2.000000000000000e-03    0.000000000000000e+00
    39    6.000000000000001e-01    4.000000000000000e-03    0.000000000000000e+00
    40    6.500000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    41    6.500000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    42    6.500000000000000e-01    4.000000000000000e-03    0.000000000000000e+00
    43    7.000000000000001e-01    0.000000000000000e+00    0.000000000000000e+00
    44    7.000000000000001e-01    2.000000000000000e-03    0.000000000000000e+00
    45    7.000000000000001e-01    4.000000000000000e-03    0.000000000000000e+00
    46    7.500000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    47    7.500000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    48    7.500000000000000e-01    4.000000000000000e-03    0.000000000000000e+00
    49    8.000000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    50    8.000000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    51    8.000000000000000e-01    4.000000000000000e-03    0.000000000000000e+00
    52    8.500000000000001e-01    0.000000000000000e+00    0.000000000000000e+00
    53    8.500000000000001e-01    2.000000000000000e-03    0.000000000000000e+00
    54    8.500000000000001e-01    4.000000000000000e-03    0.000000000000000e+00
    55    9.000000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    56    9.000000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    57    9.000000000000000e-01    4.000000000000000e-03    0.000000000000000e+00
    58    9.500000000000001e-01    0.000000000000000e+00    0.000000000000000e+00
    59    9.500000000000001e-01    2.000000000000000e-03    0.000000000000000e+00
    60    9.500000000000001e-01    4.000000000000000e-03    0.000000000000000e+00
    61    1.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00
    62    1.000000000000000e+00    2.000000000000000e-03    0.000000000000000e+00
    63    1.000000000000000e+00    4.000000000000000e-03    0.000000000000000e+00
    64    0.000000000000000e+00    1.000000000000000e-03    0.000000000000000e+00
    65    0.000000000000000e+00    3.000000000000000e-03    0.000000000000000e+00
    66    5.000000000000000e-02    1.000000000000000e-03    0.000000000000000e+00
    67    5.000000000000000e-02    3.000000000000000e-03    0.000000000000000e+00
    68    1.000000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    69    1.000000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
    70    1.500000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    71    1.500000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
    72    2.000000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    73    2.000000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
    74    2.500000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    75    2.500000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
    76    3.000000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    77    3.000000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
    78    3.500000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    79    3.500000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
    80    4.000000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    81    4.000000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
    82    4.500000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    83    4.500000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
    84    5.000000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    85    5.000000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
    86    5.500000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    87    5.500000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
    88    6.000000000000001e-01    1.000000000000000e-03    0.000000000000000e+00
    89    6.000000000000001e-01    3.000000000000000e-03    0.000000000000000e+00
    90    6.500000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    91    6.500000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
    92    7.000000000000001e-01    1.000000000000000e-03    0.000000000000000e+00
    93    7.000000000000001e-01    3.000000000000000e-03    0.000000000000000e+00
    94    7.500000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    95    7.500000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
    96    8.000000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    97    8.000000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
    98    8.500000000000001e-01    1.000000000000000e-03    0.000000000000000e+00
    99    8.500000000000001e-01    3.000000000000000e-03    0.000000000000000e+00
    100    9.000000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    101    9.000000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
    102    9.500000000000001e-01    1.000000000000000e-03    0.000000000000000e+00
    103    9.500000000000001e-01    3.000000000000000e-03    0.000000000000000e+00
    104    1.000000000000000e+00    1.000000000000000e-03    0.000000000000000e+00
    105    1.000000000000000e+00    3.000000000000000e-03    0.000000000000000e+00
    106    2.500000000000000e-02    0.000000000000000e+00    0.000000000000000e+00
    107    2.500000000000000e-02    1.000000000000000e-03    0.000000000000000e+00
    108    2.500000000000000e-02    2.000000000000000e-03    0.000000000000000e+00
    109    2.500000000000000e-02    3.000000000000000e-03    0.000000000000000e+00
    110    2.500000000000000e-02    4.000000000000000e-03    0.000000000000000e+00
    111    7.500000000000001e-02    0.000000000000000e+00    0.000000000000000e+00
    112    7.500000000000001e-02    1.000000000000000e-03    0.000000000000000e+00
    113    7.500000000000001e-02    2.000000000000000e-03    0.000000000000000e+00
    114    7.500000000000001e-02    3.000000000000000e-03    0.000000000000000e+00
    115    7.500000000000001e-02    4.000000000000000e-03    0.000000000000000e+00
    116    1.250000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    117    1.250000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    118    1.250000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    119    1.250000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
    120    1.250000000000000e-01    4.000000000000000e-03    0.000000000000000e+00
    121    1.750000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
    122    1.750000000000000e-01    1.000000000000000e-03    0.000000000000000e+00
    123    1.750000000000000e-01    2.000000000000000e-03    0.000000000000000e+00
    124    1.750000000000000e-01    3.000000000000000e-03    0.000000000000000e+00
